LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
042400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2010-2012,180,17.3%,187,18%,367,35.3%,DISTRICT TOTAL,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"(42.0815, -78.4344)"
042400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2010-2012,88,16.7%,88,16.7%,176,33.4%,ELEMENTARY,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"(42.0815, -78.4344)"
042400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2010-2012,66,18.4%,70,19.5%,136,37.9%,MIDDLE/HIGH,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"(42.0815, -78.4344)"
042801,CATTARAUGUS,GOWANDA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,103,22.2%,102,22%,205,44.2%,DISTRICT TOTAL,SCHOOL DISTRICT,10674 PROSPECT ST,GOWANDA,NY,14070,"(42.4638, -78.9481)"
042801,CATTARAUGUS,GOWANDA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,67,22.6%,63,21.3%,130,43.9%,ELEMENTARY,SCHOOL DISTRICT,10674 PROSPECT ST,GOWANDA,NY,14070,"(42.4638, -78.9481)"
042801,CATTARAUGUS,GOWANDA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,36,21.4%,39,23.2%,75,44.6%,MIDDLE/HIGH,SCHOOL DISTRICT,10674 PROSPECT ST,GOWANDA,NY,14070,"(42.4638, -78.9481)"
042901,CATTARAUGUS,PORTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,87,21.6%,62,15.4%,149,37.1%,DISTRICT TOTAL,SCHOOL DISTRICT,500 ELM ST,PORTVILLE,NY,14770,"(42.0344, -78.3317)"
042901,CATTARAUGUS,PORTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,51,19.5%,43,16.5%,94,36%,ELEMENTARY,SCHOOL DISTRICT,500 ELM ST,PORTVILLE,NY,14770,"(42.0344, -78.3317)"
042901,CATTARAUGUS,PORTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,36,25.7%,19,13.6%,55,39.3%,MIDDLE/HIGH,SCHOOL DISTRICT,500 ELM ST,PORTVILLE,NY,14770,"(42.0344, -78.3317)"
043001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,58,19.1%,72,23.8%,130,42.9%,DISTRICT TOTAL,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"(42.1726, -78.9476)"
043001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,29,17.5%,43,25.9%,72,43.4%,ELEMENTARY,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"(42.1726, -78.9476)"
043001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,29,21.2%,29,21.2%,58,42.3%,MIDDLE/HIGH,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"(42.1726, -78.9476)"
043200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2010-2012,96,20.9%,95,20.7%,191,41.5%,DISTRICT TOTAL,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"(42.1611, -78.7371)"
043200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2010-2012,61,20.3%,54,17.9%,115,38.2%,ELEMENTARY,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"(42.1611, -78.7371)"
043200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2010-2012,35,22%,41,25.8%,76,47.8%,MIDDLE/HIGH,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"(42.1611, -78.7371)"
043501,CATTARAUGUS,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,159,18.2%,181,20.8%,340,39%,DISTRICT TOTAL,SCHOOL DISTRICT,12125 COUNTY LINE RD,YORKSHIRE,NY,14173,"(42.5247, -78.4646)"
043501,CATTARAUGUS,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,86,17.5%,84,17.1%,170,34.6%,ELEMENTARY,SCHOOL DISTRICT,12125 COUNTY LINE RD,YORKSHIRE,NY,14173,"(42.5247, -78.4646)"
043501,CATTARAUGUS,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,73,19.4%,97,25.8%,170,45.2%,MIDDLE/HIGH,SCHOOL DISTRICT,12125 COUNTY LINE RD,YORKSHIRE,NY,14173,"(42.5247, -78.4646)"
050100,CAYUGA,AUBURN CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,276,16.4%,349,20.8%,625,37.2%,DISTRICT TOTAL,SCHOOL DISTRICT,78 THORNTON AVE,AUBURN,NY,13021,"(42.9136, -76.5794)"
050100,CAYUGA,AUBURN CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,187,17.3%,225,20.9%,412,38.2%,ELEMENTARY,SCHOOL DISTRICT,78 THORNTON AVE,AUBURN,NY,13021,"(42.9136, -76.5794)"
050100,CAYUGA,AUBURN CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,89,14.8%,124,20.6%,213,35.4%,MIDDLE/HIGH,SCHOOL DISTRICT,78 THORNTON AVE,AUBURN,NY,13021,"(42.9136, -76.5794)"
050301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,49,16.1%,82,26.9%,131,43%,DISTRICT TOTAL,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"(43.0473, -76.5543)"
050301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,20,11.2%,55,30.9%,75,42.1%,ELEMENTARY,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"(43.0473, -76.5543)"
050301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,29,23.8%,27,22.1%,56,45.9%,MIDDLE/HIGH,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"(43.0473, -76.5543)"
050401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,26,7.9%,62,18.7%,88,26.6%,DISTRICT TOTAL,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"(43.1743, -76.5528)"
050401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,19,9.5%,27,13.6%,46,23.1%,ELEMENTARY,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"(43.1743, -76.5528)"
050401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,,,35,28.2%,35,28.2%,MIDDLE/HIGH,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"(43.1743, -76.5528)"
050701,CAYUGA,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,48,19.4%,47,19%,95,38.3%,DISTRICT TOTAL,SCHOOL DISTRICT,2384 RT 34B,AURORA,NY,13026,"(42.7342, -76.6179)"
050701,CAYUGA,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,21,15.6%,20,14.8%,41,30.4%,ELEMENTARY,SCHOOL DISTRICT,2384 RT 34B,AURORA,NY,13026,"(42.7342, -76.6179)"
050701,CAYUGA,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,27,23.9%,27,23.9%,54,47.8%,MIDDLE/HIGH,SCHOOL DISTRICT,2384 RT 34B,AURORA,NY,13026,"(42.7342, -76.6179)"
051101,CAYUGA,PORT BYRON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,70,17.1%,113,27.6%,183,44.7%,DISTRICT TOTAL,SCHOOL DISTRICT,30 MAPLE AVE,PORT BYRON,NY,13140,"(43.0403, -76.6192)"
051101,CAYUGA,PORT BYRON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,44,17.3%,80,31.4%,124,48.6%,ELEMENTARY,SCHOOL DISTRICT,30 MAPLE AVE,PORT BYRON,NY,13140,"(43.0403, -76.6192)"
051101,CAYUGA,PORT BYRON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,23,15.8%,35,24%,58,39.7%,MIDDLE/HIGH,SCHOOL DISTRICT,30 MAPLE AVE,PORT BYRON,NY,13140,"(43.0403, -76.6192)"
051301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,70,19.4%,87,24.2%,157,43.6%,DISTRICT TOTAL,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"(42.7067, -76.4212)"
051301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,48,19.8%,61,25.1%,109,44.9%,ELEMENTARY,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"(42.7067, -76.4212)"
051301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,22,18.8%,26,22.2%,48,41%,MIDDLE/HIGH,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"(42.7067, -76.4212)"
051901,CAYUGA,UNION SPRINGS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,51,18.2%,42,15%,93,33.2%,DISTRICT TOTAL,SCHOOL DISTRICT,239 CAYUGA ST,UNION SPRINGS,NY,13160,"(42.8508, -76.6912)"
051901,CAYUGA,UNION SPRINGS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,29,16.8%,27,15.6%,56,32.4%,ELEMENTARY,SCHOOL DISTRICT,239 CAYUGA ST,UNION SPRINGS,NY,13160,"(42.8508, -76.6912)"
051901,CAYUGA,UNION SPRINGS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,23,20.7%,20,18%,43,38.7%,MIDDLE/HIGH,SCHOOL DISTRICT,239 CAYUGA ST,UNION SPRINGS,NY,13160,"(42.8508, -76.6912)"
060201,CHAUTAUQUA,SO WESTERN CENT SCH-JAMESTOWN,WESTERN NEW YORK,2010-2012,27,11.1%,43,17.6%,70,28.7%,DISTRICT TOTAL,SCHOOL DISTRICT,600 HUNT RD W E,JAMESTOWN,NY,14701,"(42.0897, -79.294)"
060201,CHAUTAUQUA,SO WESTERN CENT SCH-JAMESTOWN,WESTERN NEW YORK,2010-2012,34,12.2%,31,11.1%,65,23.3%,ELEMENTARY,SCHOOL DISTRICT,600 HUNT RD W E,JAMESTOWN,NY,14701,"(42.0897, -79.294)"
060201,CHAUTAUQUA,SO WESTERN CENT SCH-JAMESTOWN,WESTERN NEW YORK,2010-2012,37,16.2%,52,22.7%,89,38.9%,MIDDLE/HIGH,SCHOOL DISTRICT,600 HUNT RD W E,JAMESTOWN,NY,14701,"(42.0897, -79.294)"
060301,CHAUTAUQUA,FREWSBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,62,15.6%,61,15.3%,123,30.9%,DISTRICT TOTAL,SCHOOL DISTRICT,26 INSTITUTE ST,FREWSBURG,NY,14738,"(42.0542, -79.1604)"
060301,CHAUTAUQUA,FREWSBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,34,14.6%,30,12.9%,64,27.5%,ELEMENTARY,SCHOOL DISTRICT,26 INSTITUTE ST,FREWSBURG,NY,14738,"(42.0542, -79.1604)"
060301,CHAUTAUQUA,FREWSBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,28,17.2%,37,22.7%,65,39.9%,MIDDLE/HIGH,SCHOOL DISTRICT,26 INSTITUTE ST,FREWSBURG,NY,14738,"(42.0542, -79.1604)"
060401,CHAUTAUQUA,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,53,14.5%,79,21.6%,132,36.1%,DISTRICT TOTAL,SCHOOL DISTRICT,5935 RT 60,SINCLAIRVILLE,NY,14782,"(42.2583, -79.2827)"
060401,CHAUTAUQUA,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,27,13.8%,42,21.5%,69,35.4%,ELEMENTARY,SCHOOL DISTRICT,5935 RT 60,SINCLAIRVILLE,NY,14782,"(42.2583, -79.2827)"
060401,CHAUTAUQUA,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,26,15.2%,37,21.6%,63,36.8%,MIDDLE/HIGH,SCHOOL DISTRICT,5935 RT 60,SINCLAIRVILLE,NY,14782,"(42.2583, -79.2827)"
060503,CHAUTAUQUA,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,39,15.6%,43,17.2%,82,32.8%,DISTRICT TOTAL,SCHOOL DISTRICT,100 N ERIE ST,MAYVILLE,NY,14757,"(42.2585, -79.5111)"
060503,CHAUTAUQUA,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,29,20.4%,22,15.5%,51,35.9%,ELEMENTARY,SCHOOL DISTRICT,100 N ERIE ST,MAYVILLE,NY,14757,"(42.2585, -79.5111)"
060503,CHAUTAUQUA,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,7,6.8%,21,20.4%,28,27.2%,MIDDLE/HIGH,SCHOOL DISTRICT,100 N ERIE ST,MAYVILLE,NY,14757,"(42.2585, -79.5111)"
060601,CHAUTAUQUA,PINE VALLEY CENT SCHOOL DISTRICT-(S DAYTON),WESTERN NEW YORK,2010-2012,35,17.9%,41,20.9%,76,38.8%,DISTRICT TOTAL,SCHOOL DISTRICT,7755 RT 83,SOUTH DAYTON,NY,14138,"(42.3317, -79.0906)"
060601,CHAUTAUQUA,PINE VALLEY CENT SCHOOL DISTRICT-(S DAYTON),WESTERN NEW YORK,2010-2012,17,16.8%,10,9.9%,27,26.7%,ELEMENTARY,SCHOOL DISTRICT,7755 RT 83,SOUTH DAYTON,NY,14138,"(42.3317, -79.0906)"
060601,CHAUTAUQUA,PINE VALLEY CENT SCHOOL DISTRICT-(S DAYTON),WESTERN NEW YORK,2010-2012,18,19.6%,31,33.7%,49,53.3%,MIDDLE/HIGH,SCHOOL DISTRICT,7755 RT 83,SOUTH DAYTON,NY,14138,"(42.3317, -79.0906)"
060701,CHAUTAUQUA,CLYMER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,26,15.1%,28,16.3%,54,31.4%,DISTRICT TOTAL,SCHOOL DISTRICT,8672 E MAIN ST,CLYMER,NY,14724,"(42.0209, -79.627)"
060701,CHAUTAUQUA,CLYMER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,17,16.5%,10,9.7%,27,26.2%,ELEMENTARY,SCHOOL DISTRICT,8672 E MAIN ST,CLYMER,NY,14724,"(42.0209, -79.627)"
060701,CHAUTAUQUA,CLYMER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,5,8.6%,14,24.1%,19,32.8%,MIDDLE/HIGH,SCHOOL DISTRICT,8672 E MAIN ST,CLYMER,NY,14724,"(42.0209, -79.627)"
060800,CHAUTAUQUA,DUNKIRK CITY SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,100,18.6%,138,25.7%,238,44.3%,DISTRICT TOTAL,SCHOOL DISTRICT,620 MARAUDER DR,DUNKIRK,NY,14048,"(42.4779, -79.3417)"
060800,CHAUTAUQUA,DUNKIRK CITY SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,52,18.6%,73,26.1%,125,44.6%,ELEMENTARY,SCHOOL DISTRICT,620 MARAUDER DR,DUNKIRK,NY,14048,"(42.4779, -79.3417)"
060800,CHAUTAUQUA,DUNKIRK CITY SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,48,18.7%,65,25.3%,113,44%,MIDDLE/HIGH,SCHOOL DISTRICT,620 MARAUDER DR,DUNKIRK,NY,14048,"(42.4779, -79.3417)"
061001,CHAUTAUQUA,BEMUS POINT CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,59,19.4%,39,12.8%,98,32.2%,DISTRICT TOTAL,SCHOOL DISTRICT,3980 DUTCH HOLLOW RD,BEMUS POINT,NY,14712,"(42.1491, -79.3455)"
061001,CHAUTAUQUA,BEMUS POINT CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,32,17.8%,22,12.2%,54,30%,ELEMENTARY,SCHOOL DISTRICT,3980 DUTCH HOLLOW RD,BEMUS POINT,NY,14712,"(42.1491, -79.3455)"
061001,CHAUTAUQUA,BEMUS POINT CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,32,24.8%,17,13.2%,49,38%,MIDDLE/HIGH,SCHOOL DISTRICT,3980 DUTCH HOLLOW RD,BEMUS POINT,NY,14712,"(42.1491, -79.3455)"
061101,CHAUTAUQUA,FALCONER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,98,17.8%,96,17.5%,194,35.3%,DISTRICT TOTAL,SCHOOL DISTRICT,2 EAST AVE N,FALCONER,NY,14733,"(42.1227, -79.1942)"
061101,CHAUTAUQUA,FALCONER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,58,17.3%,48,14.3%,106,31.5%,ELEMENTARY,SCHOOL DISTRICT,2 EAST AVE N,FALCONER,NY,14733,"(42.1227, -79.1942)"
061101,CHAUTAUQUA,FALCONER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,40,18.9%,48,22.6%,88,41.5%,MIDDLE/HIGH,SCHOOL DISTRICT,2 EAST AVE N,FALCONER,NY,14733,"(42.1227, -79.1942)"
061501,CHAUTAUQUA,SILVER CREEK CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,49,15.8%,69,22.3%,118,38.1%,DISTRICT TOTAL,SCHOOL DISTRICT,1 DICKINSON ST,SILVER CREEK,NY,14136,"(42.5341, -79.1667)"
061501,CHAUTAUQUA,SILVER CREEK CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,33,17.2%,37,19.3%,70,36.5%,ELEMENTARY,SCHOOL DISTRICT,1 DICKINSON ST,SILVER CREEK,NY,14136,"(42.5341, -79.1667)"
061501,CHAUTAUQUA,SILVER CREEK CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,16,13.6%,32,27.1%,48,40.7%,MIDDLE/HIGH,SCHOOL DISTRICT,1 DICKINSON ST,SILVER CREEK,NY,14136,"(42.5341, -79.1667)"
061503,CHAUTAUQUA,FORESTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,41,18.8%,47,21.6%,88,40.4%,DISTRICT TOTAL,SCHOOL DISTRICT,12 WATER ST,FORESTVILLE,NY,14062,"(42.4676, -79.181)"
061503,CHAUTAUQUA,FORESTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,24,17.8%,25,18.5%,49,36.3%,ELEMENTARY,SCHOOL DISTRICT,12 WATER ST,FORESTVILLE,NY,14062,"(42.4676, -79.181)"
061503,CHAUTAUQUA,FORESTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,17,20.5%,22,26.5%,39,47%,MIDDLE/HIGH,SCHOOL DISTRICT,12 WATER ST,FORESTVILLE,NY,14062,"(42.4676, -79.181)"
061601,CHAUTAUQUA,PANAMA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,36,16.7%,41,19.1%,77,35.8%,DISTRICT TOTAL,SCHOOL DISTRICT,41 NORTH ST,PANAMA,NY,14767,"(42.0779, -79.4836)"
061601,CHAUTAUQUA,PANAMA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,16,12.9%,25,20.2%,41,33.1%,ELEMENTARY,SCHOOL DISTRICT,41 NORTH ST,PANAMA,NY,14767,"(42.0779, -79.4836)"
061601,CHAUTAUQUA,PANAMA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,20,21.1%,20,21.1%,40,42.1%,MIDDLE/HIGH,SCHOOL DISTRICT,41 NORTH ST,PANAMA,NY,14767,"(42.0779, -79.4836)"
061700,CHAUTAUQUA,JAMESTOWN CITY SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,248,14.4%,330,19.2%,578,33.6%,DISTRICT TOTAL,SCHOOL DISTRICT,197 MARTIN RD,JAMESTOWN,NY,14701,"(42.0774, -79.221)"
061700,CHAUTAUQUA,JAMESTOWN CITY SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,162,13.9%,210,18.1%,372,32%,ELEMENTARY,SCHOOL DISTRICT,197 MARTIN RD,JAMESTOWN,NY,14701,"(42.0774, -79.221)"
061700,CHAUTAUQUA,JAMESTOWN CITY SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,86,15.2%,127,22.4%,213,37.6%,MIDDLE/HIGH,SCHOOL DISTRICT,197 MARTIN RD,JAMESTOWN,NY,14701,"(42.0774, -79.221)"
062201,CHAUTAUQUA,FREDONIA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,105,16.2%,115,17.8%,220,34%,DISTRICT TOTAL,SCHOOL DISTRICT,425 E MAIN ST,FREDONIA,NY,14063,"(42.4495, -79.3105)"
062201,CHAUTAUQUA,FREDONIA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,66,15.7%,76,18.1%,142,33.7%,ELEMENTARY,SCHOOL DISTRICT,425 E MAIN ST,FREDONIA,NY,14063,"(42.4495, -79.3105)"
062201,CHAUTAUQUA,FREDONIA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,41,18.4%,39,17.5%,80,35.9%,MIDDLE/HIGH,SCHOOL DISTRICT,425 E MAIN ST,FREDONIA,NY,14063,"(42.4495, -79.3105)"
062301,CHAUTAUQUA,BROCTON CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,39,19.3%,38,18.8%,77,38.1%,DISTRICT TOTAL,SCHOOL DISTRICT,138 W MAIN ST,BROCTON,NY,14716,"(42.3848, -79.4529)"
062301,CHAUTAUQUA,BROCTON CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,25,19.2%,21,16.2%,46,35.4%,ELEMENTARY,SCHOOL DISTRICT,138 W MAIN ST,BROCTON,NY,14716,"(42.3848, -79.4529)"
062301,CHAUTAUQUA,BROCTON CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,10,14.7%,17,25%,27,39.7%,MIDDLE/HIGH,SCHOOL DISTRICT,138 W MAIN ST,BROCTON,NY,14716,"(42.3848, -79.4529)"
062401,CHAUTAUQUA,RIPLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,12,11.8%,25,24.5%,37,36.3%,DISTRICT TOTAL,SCHOOL DISTRICT,12 N STATE ST,RIPLEY,NY,14775,"(42.268, -79.7114)"
062401,CHAUTAUQUA,RIPLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,,,6,11.3%,6,11.3%,ELEMENTARY,SCHOOL DISTRICT,12 N STATE ST,RIPLEY,NY,14775,"(42.268, -79.7114)"
062401,CHAUTAUQUA,RIPLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,,,15,48.4%,15,48.4%,MIDDLE/HIGH,SCHOOL DISTRICT,12 N STATE ST,RIPLEY,NY,14775,"(42.268, -79.7114)"
062601,CHAUTAUQUA,SHERMAN CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,25,17%,23,15.6%,48,32.7%,DISTRICT TOTAL,SCHOOL DISTRICT,127 PARK ST,SHERMAN,NY,14781,"(42.1608, -79.5945)"
062601,CHAUTAUQUA,SHERMAN CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,8,10.4%,11,14.3%,19,24.7%,ELEMENTARY,SCHOOL DISTRICT,127 PARK ST,SHERMAN,NY,14781,"(42.1608, -79.5945)"
062601,CHAUTAUQUA,SHERMAN CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,13,21%,8,12.9%,21,33.9%,MIDDLE/HIGH,SCHOOL DISTRICT,127 PARK ST,SHERMAN,NY,14781,"(42.1608, -79.5945)"
062901,CHAUTAUQUA,WESTFIELD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,56,20.7%,44,16.3%,100,37%,DISTRICT TOTAL,SCHOOL DISTRICT,203 E MAIN ST,WESTFIELD,NY,14787,"(42.3286, -79.5687)"
062901,CHAUTAUQUA,WESTFIELD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,34,22.7%,24,16%,58,38.7%,ELEMENTARY,SCHOOL DISTRICT,203 E MAIN ST,WESTFIELD,NY,14787,"(42.3286, -79.5687)"
062901,CHAUTAUQUA,WESTFIELD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,22,20%,20,18.2%,42,38.2%,MIDDLE/HIGH,SCHOOL DISTRICT,203 E MAIN ST,WESTFIELD,NY,14787,"(42.3286, -79.5687)"
070600,CHEMUNG,ELMIRA CITY SCHOOL DISTRICT,FINGER LAKES,2010-2012,363,17%,373,17.4%,736,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,951 HOFFMAN ST,ELMIRA,NY,14905,"(42.097, -76.8294)"
070600,CHEMUNG,ELMIRA CITY SCHOOL DISTRICT,FINGER LAKES,2010-2012,233,18.1%,254,19.8%,487,37.9%,ELEMENTARY,SCHOOL DISTRICT,951 HOFFMAN ST,ELMIRA,NY,14905,"(42.097, -76.8294)"
070600,CHEMUNG,ELMIRA CITY SCHOOL DISTRICT,FINGER LAKES,2010-2012,130,15.2%,119,13.9%,249,29.2%,MIDDLE/HIGH,SCHOOL DISTRICT,951 HOFFMAN ST,ELMIRA,NY,14905,"(42.097, -76.8294)"
070901,CHEMUNG,HORSEHEADS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,130,20.5%,112,17.6%,242,38.1%,DISTRICT TOTAL,SCHOOL DISTRICT,1 RAIDER LN,HORSEHEADS,NY,14845,"(42.167, -76.8261)"
070901,CHEMUNG,HORSEHEADS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,54,17.3%,52,16.6%,106,33.9%,ELEMENTARY,SCHOOL DISTRICT,1 RAIDER LN,HORSEHEADS,NY,14845,"(42.167, -76.8261)"
